ID; Date; type; name; number; cost; totCost;;;;;;
102;20121116;Снаряжение;Диск 25мм;2.0;228.0;456.0;;;;;;
103;20121118;Еда;Зелень;2.0;2.0;4.0;;;;;;
104;20121118;Еда;Капуста;1.0;5.3;5.3;;;;;;
105;20121118;Еда;Вода Моршинская 1л;1.0;6.5;6.5;;;;;;
106;20121119;Медицина;Панорамный снимок зубов;1.0;67.0;67.0;;;;;;
107;20121120;Снаряжение;Шлем велосипедный;1.0;219.0;219.0;;;;;;
108;20121120;Снаряжение;Промывка цепи;1.0;100.0;100.0;;;;;;
109;20121120;Снаряжение;Смазка цепи;1.0;100.0;100.0;;;;;;
110;20121120;Снаряжение;Промывочное устройство;1.0;76.0;76.0;;;;;;
111;20121120;Медицина;Бальзам для губ;1.0;6.43;6.43;;;;;;
112;20121120;Еда;Индюшатина;1.75;47.8;83.65;;;;;;
113;20121120;Еда;Куриное филе;1.1;38.0;41.8;;;;;;
114;20121121;Еда;Творог;2.0;30.0;60.0;;;;;;
115;20121121;Еда;Тыква;2.5;4.4;11.0;;;;;;
116;20121121;Медицина;Ибупрофен;1.0;7.25;7.25;;;;;;
117;20121121;Медицина;Кеторол;1.0;13.5;13.5;;;;;;
118;20121121;Медицина;Амоксиклав;1.0;63.75;63.75;;;;;;
119;20121121;Медицина;Лоратадин;1.0;5.25;5.25;;;;;;
120;20121123;Медицина;Удаление зубов;2.0;950.0;1900.0;;;;;;
121;20121127;Еда;Чай зеленый;1.0;16.0;16.0;;;;;;
122;20121127;Еда;Чай черный;1.0;12.5;12.5;;;;;;
123;20121127;Медицина;Осмотр у стоматолога;1.0;50.0;50.0;;;;;;
124;20121127;Хоз.Товары;Мешок полиэтиленовый;2.0;6.0;12.0;;;;;;
125;20121127;Хоз.Товары;Банка стеклянная 0.5л с крышкой;2.0;30.0;60.0;;;;;;
126;20121128;Еда;Редька зеленая;1.25;9.0;11.25;;;;;;
127;20121128;Еда;Редька белая;1.25;9.0;11.25;;;;;;
128;20121128;Еда;Сельдерей;0.5;12.0;6.0;;;;;;
129;20121128;Хоз.Товары;Щетка;1.0;10.0;10.0;;;;;;
130;20121128;Хоз.Товары;Сковорода;1.0;90.0;90.0;;;;;;
131;20121128;Снаряжение;Перчатки;1.0;160.0;160.0;;;;;;
132;20121129;Еда;Творог;2.0;30.0;60.0;;;;;;
133;20121129;Еда;Сметана;0.5;21.0;10.5;;;;;;
134;20121129;Еда;Чай зеленый;1.0;7.0;7.0;;;;;;
135;20121129;Еда;Чай черный;1.0;15.0;15.0;;;;;;
136;20121129;Еда;Зелень;2.0;3.0;6.0;;;;;;
137;20121201;Еда;бананы;1.32;14.5;19.140001;;;;;;
138;20121201;Еда;Гречка;2.0;11.0;22.0;;;;;;
139;20121201;Еда;Яйца;10.0;1.15;11.5;;;;;;
140;20121201;Еда;Куриное филе;1.15;38.5;44.274998;;;;;;
141;20121204;Кварт. услуги;Электричество;203.0;0.302;61.305996;;;;;;
142;20121204;Кварт. услуги;Портмоне;1.0;9.9;9.9;;;;;;
143;20121204;Кварт. услуги;Квартира;1.0;391.68;391.68;;;;;;
144;20121204;Еда;Творог;2.0;30.0;60.0;;;;;;
145;20121204;Кварт. услуги;Интернет;1.0;100.0;100.0;;;;;;
146;20121205;Еда;Морковь;2.0;5.0;10.0;;;;;;
147;20121205;Хоз.Товары;Силиконовый герметик;1.0;20.0;20.0;;;;;;
148;20121205;Медицина;Перекись водорода;1.0;2.36;2.36;;;;;;
149;20121205;Медицина;Удаление зубов;2.0;350.0;700.0;;;;;;
150;20121205;Прочее;Балклава;1.0;190.0;190.0;;;;;;
151;20121206;Хоз.Товары;Зубная паста Lacalut fluor;1.0;24.35;24.35;;;;;;
152;20121206;Еда;Куриное филе;1.15;38.5;44.274998;;;;;;
153;20121206;Еда;Куриные бедрышки;1.15;28.5;32.774998;;;;;;
154;20121208;Еда;Творог;2.25;30.0;67.5;;;;;;
155;20121208;Еда;Сметана;0.5;16.0;8.0;;;;;;
156;20121209;Еда;бананы;1.0;15.65;15.65;;;;;;
157;20121209;Еда;Мандарины;0.975;20.0;19.5;;;;;;
158;20121209;Прочее;Нитка для зубов;1.0;22.68;22.68;;;;;;
159;20121210;Еда;Кефир;1.0;10.5;10.5;;;;;;
160;20121210;Еда;Куриные бедрышки;1.42;28.5;40.469997;;;;;;
161;20121210;Хоз.Товары;Набор швейных игл;1.0;7.0;7.0;;;;;;
162;20121210;Хоз.Товары;Катушка ниток;1.0;3.0;3.0;;;;;;
